net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
65440000,11.75,2.73,0.07,99.24,0,14.96,2.97,1.82,10.01,3.56,10.63,11.78,0,14.72,13.4,0,5.66,10.58,12.23,17.44,0,0,0,0,0,0,0,0,0,10.03,10.9,0.91,-0.1,10.03,3.26,13.39,17.04,14.87,10.53,0,15.36,0,6.55,0.12,21.64,3.06,0,0,0.84,0,0,1.21,0,0,85.87,0,0,9.75,0,0,1.35,0,0,0,0
593380000,3.91,2.75,0.4,99.61,0,13.53,1.32,0.89,4.2,9.51,10.49,17.84,4.29,3,8.15,13.74,4.47,3.22,20,5.3,0,0,0,0,0,0,0,0,0,-6.04,0,-2.54,0,-10.37,0,-5.88,0,4.29,0,8.15,0,10.4,0,,18.42,1.15,1.08,0.36,0.97,0.96,0.96,0.41,0.72,0.92,95.22,96.55,97.48,11.56,12.16,15.22,0.45,0.72,0.7,8.7,10.46
756860000,7.59,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,8.1,-0.18,3.09,6.79,-3.42,-6.94,-4.15,1.77,-15.94,-10.5,-10.68,-3.7,-7.74,-13.66,1.16,-2.18,-2.62,-3.21,0.82,0.83,0.91,0.19,-0.84,-0.22,82.46,89.35,91.69,11.37,13.45,15.23,0.09,-0.81,-0.2,-13.53,-4.62
3770000,9.21,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,2.3,-1.48,0.47,6.37,1.08,26.44,3.81,0,-1.84,0,-0.92,0,0.74,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520760000,3.69,2.24,0.4,98.51,0,14.99,1.53,1.06,4.31,4.94,10.59,15.68,6.73,10.8,11.39,3.96,7.8,1.77,16.94,9.39,0,0,0,0,0,0,0,0,0,-8.68,0,-0.36,0,-8.26,0,-7.73,0,3.17,0,5.75,0,10.38,0,,21.96,0.06,-1.5,-0.39,0.99,1,1.03,0.32,0.53,0.92,93.99,95.45,96.64,11.92,12.78,16.47,0.35,0.51,0.66,5.88,9.58
610510,1.88,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61,0,2.9,0,0,0,-0.85,4.85,-2.39,-1.41,0,2.5,2.68,0,0.07,0.39,0,89.6,87.77,0,7.8,8.19,0,-0.06,0.47,0,1.33,0
2640000,8.25,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,9.24,0,8.82,0,15.65,0,0,0,0,0,0,0,-10.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11570000,-5.66,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.58,0,-16.78,0,-13.58,0,-18.62,0,-1.14,0,-13.48,0,0,0,10.28,-18.19,13.14,11.82,0,-11.42,-10.87,0,0.47,-0.71,0,86.79,85.04,0,36.08,33.72,0,0.12,-0.28,0,1.3,0
2030000000,15.59,2.63,0.28,100,0,14.34,2.49,1.72,8.27,1.95,6.85,15.64,3.69,12.74,11.72,5.26,6.8,8.59,10.64,16.12,0,0,0,0,0,0,0,0,0,12.3,10.9,1.48,-0.1,12.3,3.26,9.45,17.04,11.64,10.53,9.73,15.36,15.32,6.55,-5.78,18.21,-0.46,-0.19,1.21,0.89,0.91,0.88,0.96,0.82,1.25,94.1,95.28,94.64,9.84,10.38,11.4,1.04,0.87,1.27,9.87,16.98
1670000000,11.55,3.41,0.58,99.67,0.01,11.55,1.15,0.64,5.98,8.85,17.94,15.13,7.67,7.74,3.76,3.3,3.61,1.79,21.39,8.82,0,0,0,0,0,0,0,0,0,9.42,5.04,-0.11,-0.84,9.42,1.25,-11.03,3.93,7.16,1.41,3.35,6.95,12.13,3.48,-18.69,30.95,-1.14,0.94,3.76,1.04,0.96,0.92,0.63,0.34,1.06,87.15,86.24,89.11,11.81,12.41,15.29,0.53,0.26,0.8,2.69,12.82
220700000,10.15,3.44,0.5,99.39,0,13.53,1.42,1.08,6.69,7.68,11.76,18.54,4.09,11.96,11.42,3.59,3.68,5.78,13.59,7.91,0,96.81,0,0,0,0,0,0,3.19,6.62,4.11,0.84,1.28,6.62,5.62,-5.62,8.19,0,0.78,0,7.15,0,1.76,-13.09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
